scan,target,object,human_bottom_truth,script_bottom_call,error,bug_present,possible_multiple,tip_pale_total_area_px,tip_pale_largest_fill_ratio,tip_dark_total_area_px,tip_colored_total_area_px,image
scan_20260817_131238,1,0,positive,positive,match,True,False,4017.5,0.31741961741961744,154.0,83.5,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_001_object_000000_20260817_131923_bottom.png
scan_20260817_131238,1,83,positive,positive,match,True,False,6156.0,0.35814676616915425,900.5,589.5,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_001_object_000083_20260817_134134_bottom.png
scan_20260817_131238,2,2,positive,positive,match,True,False,10890.0,0.691884280593958,0.0,22.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_002_object_000002_20260817_131940_bottom.png
scan_20260817_131238,2,84,negative,positive,false_positive,True,False,11583.0,0.7238470191226096,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_002_object_000084_20260817_134152_bottom.png
scan_20260817_131238,3,1,negative,positive,false_positive,True,False,10623.5,0.6843077521389681,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_003_object_000001_20260817_131959_bottom.png
scan_20260817_131238,3,85,positive,positive,match,True,False,11167.0,0.7115458136867593,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_003_object_000085_20260817_134210_bottom.png
scan_20260817_131238,4,3,negative,positive,false_positive,True,False,6737.0,0.38623188405797104,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_004_object_000003_20260817_132017_bottom.png
scan_20260817_131238,4,86,negative,positive,false_positive,True,False,11036.5,0.7364540237555052,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_004_object_000086_20260817_134228_bottom.png
scan_20260817_131238,5,4,positive,positive,match,True,False,4407.5,0.2822485207100592,0.0,23.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_005_object_000004_20260817_132034_bottom.png
scan_20260817_131238,5,87,positive,negative,false_negative,False,False,6231.5,0.4021608643457383,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_005_object_000087_20260817_134247_bottom.png
scan_20260817_131238,6,5,negative,positive,false_positive,True,False,11068.0,0.6988506477012955,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_006_object_000005_20260817_132052_bottom.png
scan_20260817_131238,6,88,positive,positive,match,True,False,11555.0,0.7220972378452694,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_006_object_000088_20260817_134257_bottom.png
scan_20260817_131238,7,6,negative,negative,match,False,False,5234.5,0.33704952035260566,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_007_object_000006_20260817_132110_bottom.png
scan_20260817_131238,7,89,positive,positive,match,True,False,10863.5,0.7027752620002587,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_007_object_000089_20260817_134315_bottom.png
scan_20260817_131238,8,7,positive,positive,match,True,False,2433.0,0.3384103641456583,22.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_008_object_000007_20260817_132121_bottom.png
scan_20260817_131238,8,90,positive,positive,match,True,False,11058.0,0.6941619585687382,92.0,48.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_008_object_000090_20260817_134333_bottom.png
scan_20260817_131238,9,9,positive,positive,match,True,False,4913.5,0.30641025641025643,193.0,103.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_009_object_000009_20260817_132139_bottom.png
scan_20260817_131238,9,91,positive,positive,match,True,False,11299.5,0.702705223880597,750.0,645.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_009_object_000091_20260817_134351_bottom.png
scan_20260817_131238,10,8,positive,positive,match,True,False,11569.0,0.737024,83.0,29.5,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_010_object_000008_20260817_132157_bottom.png
scan_20260817_131238,10,92,positive,positive,match,True,False,11472.0,0.7226001511715797,945.5,939.5,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_010_object_000092_20260817_134409_bottom.png
scan_20260817_131238,11,10,positive,positive,match,True,False,10606.5,0.6799408131755018,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_011_object_000010_20260817_132215_bottom.png
